"BoxOffDomIA" "Anno" "Sequel" "Tipo" "Fonte" "Metodo_Prod" "Genere" "Rating" "Budget"
"Sweet Home Alabama 2002" 172.668019 2002 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 38
"Sweeney Todd: The Demon Barber of Fleet Street 2007" 59.595655 2007 0 "Historical Fiction" "Other" "Live Action" "Musical" "R" NA
"Swades 2004" 1.547718 2004 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "Not Rated" NA
"Suspect Zero 2004" 11.069583 2004 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "R" 27
"Surviving Christmas 2004" 14.227848 2004 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" NA
"Surf s Up 2007" 67.509609 2007 0 "Kids Fiction" "Original Screenplay" "Digital Animation" "Avventura" "PG" 100
"Sur Le Seuil 2003" 2.63399 2003 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Drammatico" "Not Rated" 2.5
"Supernova 2000" 20.813891 2000 0 "Science Fiction" "Original Screenplay" "Live Action" "Azione" "PG-13" 60
"Superman Returns 2006" 241.060582 2006 0 "Super Hero" "Comic/Graphic Novel" "Live Action" "Avventura" "PG-13" 232
"Superhero Movie 2008" 29.236845 2008 0 "Super Hero" "Original Screenplay" "Live Action" "Commedia" "PG-13" NA
"Supercross 2005" 3.817356 2005 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Azione" "PG-13" 30
"Superbad 2007" 139.294313 2007 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 17.5
"Super Troopers 2002" 25.107195 2002 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 3
"Super Size Me 2004" 14.648424 2004 0 "Factual" "Real Life Events" "Live Action" "Documentario" "PG-13" 0.065
"Super Babies: Baby Geniuses 2 2004" 11.573683 2004 1 "Kids Fiction" "Original Screenplay" "Live Action" "Commedia" "PG" 20
"Sunshine State 2002" 4.161407 2002 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG-13" 5.6
"Sunshine 2007" 4.214578 2007 0 "Science Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "R" 40
"Sunshine 2000" 7.45762 2000 0 "Historical Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" NA
"Summer Catch 2001" 27.453145 2001 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 17
"Sukkar banat 2007" 1.216291 2007 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG" 1.6
"Sugar and Spice 2001" 18.507975 2001 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" NA
"Stuck On You 2003" 44.145094 2003 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 55
"Stuart Little 2 2002" 87.911863 2002 1 "Kids Fiction" "Fiction Source" "Live Action" "Commedia" "PG" 120
"Street Kings 2008" 29.031097 2008 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "R" 20
"Strangers with Candy 2006" 2.496664 2006 0 "Contemporary Fiction" "TV" "Live Action" "Commedia" "R" 2
"Stranger Than Fiction 2006" 48.707424 2006 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 30
"Strange Wilderness 2008" 7.225481 2008 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" NA
"Storytelling 2002" 1.239101 2002 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" NA
"Stop-Loss 2008" 11.995159 2008 0 "Dramatization" "Real Life Events" "Live Action" "Drammatico" "R" 25
"Stomp the Yard 2007" 70.363454 2007 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG-13" 14
"Stick It 2006" 32.416136 2006 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 20
"Step Up 2 the Streets 2008" 63.754916 2008 1 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG-13" 17.5
"Step Up 2006" 78.692959 2006 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG-13" 12
"Step Into Liquid 2003" 4.805247 2003 0 "Factual" "Real Life Events" "Live Action" "Documentario" "PG" NA
"Step Brothers 2008" 110.403729 2008 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 65
"Stealth 2005" 39.024626 2005 0 "Science Fiction" "Original Screenplay" "Live Action" "Azione" "PG-13" 138
"Stealing Harvard 2002" 18.976105 2002 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 25
"Stay Alive 2006" 27.799658 2006 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Horror" "PG-13" 20
"Stay 2005" 4.464288 2005 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "R" NA
"State Property 2 2005" 2.065105 2005 1 "Contemporary Fiction" "Original Screenplay" "Live Action" "Azione" "R" NA
"State Property 2002" 2.851422 2002 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Azione" "R" NA
"State and Main 2000" 9.755093 2000 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" NA
"Startup.com 2001" 1.785673 2001 0 "Factual" "Real Life Events" "Live Action" "Documentario" "R" NA
"Starting Out in the Evening 2007" 1.014323 2007 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Drammatico" "PG-13" NA
"Starsky & Hutch 2004" 112.061157 2004 0 "Historical Fiction" "TV" "Live Action" "Commedia" "PG-13" 60
"Stardust 2007" 44.006514 2007 0 "Fantasy" "Fiction Source" "Live Action" "Avventura" "PG-13" 70
"Star Wars: The Clone Wars 2008" 38.638529 2008 1 "Science Fiction" "Original Screenplay" "Digital Animation" "Avventura" "PG" 8.5
"Star Wars: Attack of the Clones (IMAX) 2002" 11.50833 2002 1 "Science Fiction" "Original Screenplay" "Live Action" "Avventura" "PG" NA
"Star Wars Ep. III: Revenge of the Sith 2005" 468.061089 2005 1 "Science Fiction" "Original Screenplay" "Animation/Live Action" "Avventura" "PG-13" 115
"Star Wars Ep. II: Attack of the Clones 2002" 410.363011 2002 1 NA "Original Screenplay" "Animation/Live Action" "Avventura" "PG" 115
"Star Trek: Nemesis 2002" 58.234039 2002 1 "Science Fiction" "TV" "Live Action" "Avventura" "PG-13" 60
"Standing in the Shadows of Motown 2002" 2.175273 2002 0 "Factual" "Real Life Events" "Live Action" "Documentario" "PG" NA
"Stage Beauty 2004" 0.98681 2004 0 NA "Play" "Live Action" "Drammatico" "R" NA
"Spy Kids 3-D: Game Over 2003" 146.230948 2003 1 "Kids Fiction" "Original Screenplay" "Live Action" "Avventura" "PG" 40
"Spy Kids 2: The Island of Lost Dreams 2002" 116.557652 2002 1 "Kids Fiction" "Original Screenplay" "Live Action" "Avventura" "PG" 38
"Spy Kids 2001" 157.091936 2001 0 "Kids Fiction" "Original Screenplay" "Live Action" "Avventura" "PG" 35
"Spy Game 2001" 86.883126 2001 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Azione" "R" 90
"SpongeBob SquarePants 2004" 108.38508 2004 0 "Kids Fiction" "TV" "Hand Animation" "Avventura" "PG" 30
"Spirited Away 2002" 13.411674 2002 0 "Fantasy" "Original Screenplay" "Hand Animation" "Avventura" "PG" 19
"Spirit: Stallion of the Cimarron 2002" 99.42664 2002 0 "Kids Fiction" "Original Screenplay" "Hand Animation" "Avventura" "G" 80
"Spider-Man/Men in Black II Double-Bill 2002" 5.393383 2002 0 "Multiple Creative Types" "Comic/Graphic Novel" "Live Action" "Avventura" "PG-13" NA
"Spider-Man 3 2007" 385.933732 2007 1 "Super Hero" "Comic/Graphic Novel" "Live Action" "Avventura" "PG-13" 258
"Spider-Man 2 2004" 474.574584 2004 1 "Super Hero" "Comic/Graphic Novel" "Live Action" "Avventura" "PG-13" 200
"Spider-Man 2002" 548.234646 2002 0 "Super Hero" "Comic/Graphic Novel" "Live Action" "Avventura" "PG-13" 139
"Spider 2003" 2.14821 2003 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Drammatico" "R" 10
"Spellbound 2003" 7.495413 2003 0 "Factual" "Real Life Events" "Live Action" "Documentario" "G" NA
"Speed Racer 2008" 48.291376 2008 0 "Science Fiction" "TV" "Live Action" "Azione" "PG" 120
"Spartan 2004" 5.53665 2004 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "R" NA
"Spanglish 2004" 52.980869 2004 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 75
"Space Station 2002" 107.031361 2002 0 "Factual" "Real Life Events" "Live Action" "Documentario" "Not Rated" NA
"Space Cowboys 2000" 132.389466 2000 0 "Science Fiction" "Original Screenplay" "Live Action" "Avventura" "PG-13" 65
"Space Chimps 2008" 33.083022 2008 0 "Kids Fiction" "Original Screenplay" "Digital Animation" "Avventura" "G" 37
"Soul Survivors 2001" 4.322284 2001 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Horror" "PG-13" 14
"Soul Plane 2004" 17.688607 2004 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 16
"Soul Men 2008" 13.274333 2008 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" NA
"Sorority Boys 2002" 13.849956 2002 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 12
"Sordid Lives 2001" 1.491597 2001 0 "Contemporary Fiction" "Play" "Live Action" "Commedia" "R" NA
"Songcatcher 2001" 4.252978 2001 0 "Historical Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG-13" 1.8
"Son of the Mask 2005" 20.938222 2005 1 "Kids Fiction" "Comic/Graphic Novel" "Live Action" "Commedia" "PG" 100
"Son of Rambow: A Home Movie 2008" 1.962069 2008 0 "Historical Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 2
"Something s Gotta Give 2003" 161.496575 2003 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 80
"Something New 2006" 13.763403 2006 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG-13" NA
"Someone Like You 2001" 38.109023 2001 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Commedia" "PG-13" 23
"Solaris 2002" 20.322447 2002 0 "Science Fiction" "Remake" "Live Action" "Drammatico" "PG-13" 47
"Snow Dogs 2002" 110.20292 2002 0 "Kids Fiction" "Fiction Source" "Live Action" "Commedia" "PG" 32
"Snow Day 2000" 87.841469 2000 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG" 13
"Snatch 2000" 41.952203 2000 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 10
"Snakes on a Plane 2006" 40.980794 2006 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "R" 33
"Smokin  Aces 2007" 40.898099 2007 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 17
"Smart People 2008" 10.45182 2008 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" NA
"Small Time Crooks 2000" 24.98924 2000 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG" 18
"Slumdog Millionaire 2008" 150.024421 2008 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" 14
"Slow Burn 2007" 1.419301 2007 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "R" 15.5
"Slither 2006" 9.365288 2006 0 "Science Fiction" "Original Screenplay" "Live Action" "Horror" "R" 15.25
"Sleepover 2004" 11.953389 2004 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG" 10
"Slackers 2002" 6.537757 2002 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 11
"Sky High 2005" 78.702387 2005 0 "Super Hero" "Original Screenplay" "Live Action" "Avventura" "PG" 60
"Sky Captain and the World of Tomorrow 2004" 47.975366 2004 0 "Science Fiction" "Original Screenplay" "Animation/Live Action" "Avventura" "PG" 70
"Skinwalkers 2007" 1.168548 2007 0 "Fantasy" "Original Screenplay" "Live Action" "Horror" "PG-13" NA
"Sisterhood of the Traveling Pants 2005" 48.015439 2005 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Drammatico" "PG" 25
"Singh is Kinng 2008" 2.773051 2008 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Azione" "Not Rated" NA
"Sinbad: Legend of the Seven Seas 2003" 34.630015 2003 0 "Kids Fiction" "Fiction Source" "Hand Animation" "Avventura" "PG" 60
"Sin City 2005" 91.207493 2005 0 "Fantasy" "Comic/Graphic Novel" "Live Action" "Azione" "R" 40
"Simone 2002" 13.146712 2002 0 "Science Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" NA
"Silver City 2004" 1.292611 2004 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" NA
"Silk 2007" 1.265012 2007 0 "Historical Fiction" "Fiction Source" "Live Action" "Drammatico" "R" NA
"Silent Hill 2006" 56.594347 2006 0 "Contemporary Fiction" "Game" "Live Action" "Horror" "R" 50
"Signs 2002" 309.55686 2002 0 "Science Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "PG-13" 70.702619
"Sideways 2004" 88.899573 2004 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Drammatico" "R" 17
"Sicko 2007" 28.131653 2007 0 "Factual" "Real Life Events" "Live Action" "Documentario" "PG-13" 9
"Shutter 2008" 28.492518 2008 0 "Contemporary Fiction" "Remake" "Live Action" "Horror" "PG-13" NA
"Shut Up and Sing 2006" 1.458127 2006 0 "Factual" "Real Life Events" "Live Action" "Documentario" "R" NA
"Shrek the Third 2007" 368.137719 2007 1 "Kids Fiction" "Fiction Source" "Digital Animation" "Avventura" "PG" 160
"Shrek 2 2004" 554.550157 2004 1 "Kids Fiction" "Fiction Source" "Digital Animation" "Avventura" "PG" 70
"Shrek 2001" 373.105018 2001 0 "Kids Fiction" "Fiction Source" "Digital Animation" "Avventura" "PG" 50
"Showtime 2002" 51.534553 2002 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 85
"Shower 2000" 1.688184 2000 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG-13" NA
"Shortbus 2006" 2.388398 2006 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "Not Rated" 2
"Shopgirl 2005" 12.650258 2005 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Drammatico" "R" NA
"Shooter 2007" 53.903817 2007 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Thriller/Suspense" "R" 60
"Shoot  Em Up 2007" 14.675424 2007 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Azione" "R" NA
"Shine a Light 2008" 6.049658 2008 0 "Factual" "Real Life Events" "Live Action" "Documentario" "R" NA
"She s the Man 2006" 40.579454 2006 0 "Contemporary Fiction" "Play" "Live Action" "Commedia" "PG-13" 25
"Shaun of the Dead 2004" 17.106924 2004 0 "Fantasy" "Original Screenplay" "Live Action" "Commedia" "R" 5
"Shattered Glass 2003" 2.885136 2003 0 "Dramatization" "Real Life Events" "Live Action" "Drammatico" "PG-13" 6
"Sharkwater 2007" 0.971827 2007 0 "Factual" "Real Life Events" "Live Action" "Documentario" "PG" NA
"Sharks 3D 2005" 10.462558 2005 0 "Factual" "Real Life Events" "Live Action" "Documentario" "Not Rated" NA
"Shark Tale 2004" 205.053249 2004 0 "Kids Fiction" "Original Screenplay" "Digital Animation" "Avventura" "PG" 75
"Shanghai Noon 2000" 83.338756 2000 0 "Historical Fiction" "Original Screenplay" "Live Action" "Western" "PG-13" 55
"Shanghai Knights 2003" 79.122727 2003 1 "Historical Fiction" "Original Screenplay" "Live Action" "Avventura" "PG-13" 50
"Shallow Hal 2001" 98.65869 2001 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 40
"Shall We Dance? 2004" 73.519115 2004 0 "Contemporary Fiction" "Remake" "Live Action" "Commedia" "PG-13" 40
"Shaft 2000" 102.947473 2000 0 "Contemporary Fiction" "Remake" "Live Action" "Azione" "R" 53.012938
"Shadow of the Vampire 2000" 11.551378 2000 0 "Historical Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" 8
"Shackleton s Antarctic Adventure 2001" 21.26052 2001 0 "Factual" "Real Life Events" "Live Action" "Documentario" "Not Rated" NA
"Sexy Beast 2001" 9.68275 2001 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" 4.3
"Sex Drive 2008" 9.233375 2008 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Commedia" "R" 19
"Sex and the City 2008" 167.741905 2008 0 "Contemporary Fiction" "TV" "Live Action" "Commedia" "R" 57.5
"Sex and Lucia 2002" 3.56916 2002 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" NA
"Seven Pounds 2008" 76.409372 2008 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG-13" 54
"Serving Sara 2002" 22.991247 2002 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 29
"Serenity 2005" 31.18573 2005 0 "Science Fiction" "TV" "Animation/Live Action" "Azione" "PG-13" 39
"Serendipity 2001" 70.055547 2001 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 28
"Seraphin un Homme et Son 2002" 8.914808 2002 0 "Historical Fiction" "Original Screenplay" "Live Action" "Drammatico" "Not Rated" NA
"September Dawn 2007" 1.034253 2007 0 "Dramatization" "Real Life Events" "Live Action" "Drammatico" "R" 10.1
"Separate Lies 2005" 1.136539 2005 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Drammatico" "R" NA
"Semi-Pro 2008" 36.790368 2008 0 "Historical Fiction" "Original Screenplay" "Live Action" "Commedia" "R" NA
"Seed of Chucky 2004" 21.619602 2004 1 "Contemporary Fiction" "Original Screenplay" "Live Action" "Horror" "R" 29
"See Spot Run 2001" 46.500086 2001 0 "Kids Fiction" "Original Screenplay" "Live Action" "Commedia" "PG" 16
"See No Evil 2006" 18.073378 2006 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Horror" "R" 8
"Secretary 2002" 5.485057 2002 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Drammatico" "R" NA
"Secret Window 2004" 60.932182 2004 0 "Fantasy" "Fiction Source" "Live Action" "Thriller/Suspense" "PG-13" 40
"Secondhand Lions 2003" 54.986254 2003 0 "Historical Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG" 30
"Seabiscuit 2003" 157.273327 2003 0 "Historical Fiction" "Fiction Source" "Live Action" "Drammatico" "PG-13" 86
"Sea Monsters: A Prehistoric Adventure 2007" 26.154593 2007 0 "Factual" "Real Life Events" "Live Action" "Documentario" "Not Rated" NA
"Se jie 2007" 5.277684 2007 0 "Historical Fiction" "Fiction Source" "Live Action" "Drammatico" "NC-17" 15
"Screwed 2000" 10.2214 2000 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 12
"Scream 3 2000" 130.482264 2000 1 "Contemporary Fiction" "Original Screenplay" "Live Action" "Horror" "R" 40
"Scoop 2006" 12.679072 2006 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 4
"Scooby-Doo 2: Monsters Unleashed 2004" 106.960177 2004 1 "Kids Fiction" "TV" "Live Action" "Commedia" "PG" 25
"Scooby-Doo 2002" 208.165878 2002 0 "Kids Fiction" "TV" "Live Action" "Commedia" "PG" 84
"School for Scoundrels 2006" 21.450646 2006 0 "Contemporary Fiction" "Remake" "Live Action" "Commedia" "PG-13" 20
"Scary Movie 4 2006" 109.268216 2006 1 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 40
"Scary Movie 3 2003" 143.913892 2003 1 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 45
"Scary Movie 2 2001" 99.360222 2001 1 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 45
"Scary Movie 2000" 229.81577 2000 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 19
"Say It Isn t So 2001" 7.690249 2001 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 25
"Saw V 2008" 62.35822 2008 1 "Contemporary Fiction" "Original Screenplay" "Live Action" "Horror" "R" 10.8
"Saw IV 2007" 72.592695 2007 1 "Contemporary Fiction" "Original Screenplay" "Live Action" "Horror" "R" 10
"Saw III 2006" 96.653975 2006 1 "Contemporary Fiction" "Original Screenplay" "Live Action" "Horror" "R" 10
"Saw II 2005" 107.118254 2005 1 "Contemporary Fiction" "Original Screenplay" "Live Action" "Horror" "R" 5
"Saw 2004" 70.074128 2004 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Horror" "R" 1.2
"Saving Silverman 2001" 26.975949 2001 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 22
"Saving Grace 2000" 17.735308 2000 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 4
"Saving Face 2005" 1.460234 2005 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" NA
"Saved! 2004" 11.290148 2004 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 5
"Save the Last Dance 2001" 126.906713 2001 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG-13" 13
"Sarkar Raj 2008" 1.108845 2008 1 "Contemporary Fiction" NA "Live Action" "Drammatico" "Not Rated" NA
"Sarah Silverman: Jesus is Magic 2005" 1.625782 2005 0 "Factual" "Original Screenplay" "Live Action" "Concerto" "Not Rated" NA
"Sarah Landon and the Paranormal Hour 2007" 0.938011 2007 0 "Fantasy" "Original Screenplay" "Live Action" "Thriller/Suspense" "PG" NA
"Santa vs. The Snowman 2002" 12.720274 2002 0 "Fantasy" "TV" "Live Action" "Avventura" "Not Rated" NA
"Salaam-e-Ishq (A Tribute to Love) 2007" 2.123933 2007 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "Not Rated" NA
"Salaam Namaste 2005" 1.736865 2005 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "Not Rated" NA
"Saints and Soldiers 2004" 1.658036 2004 0 "Dramatization" "Real Life Events" "Live Action" "Drammatico" "PG-13" 0.78
"Saint Ralph 2005" 0.978715 2005 0 "Historical Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 5.2
"Sahara 2005" 84.491256 2005 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Avventura" "PG-13" 145
"Saawariya 2007" 1.015577 2007 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG" NA
"S.W.A.T. 2003" 152.929393 2003 0 "Contemporary Fiction" "TV" "Live Action" "Azione" "PG-13" 70
"Russian Ark 2002" 3.945387 2002 0 "Fantasy" "Original Screenplay" "Live Action" "Drammatico" "Not Rated" NA
"Rush Hour 3 2007" 160.69679 2007 1 "Contemporary Fiction" "Original Screenplay" "Live Action" "Azione" "PG-13" 180
"Rush Hour 2 2001" 315.235403 2001 1 NA "Original Screenplay" "Live Action" "Azione" "PG-13" 90
"Running With Scissors 2006" 8.263418 2006 0 "Dramatization" "Fiction Source" "Live Action" "Commedia" "R" 12
"Running Scared 2006" 8.257564 2006 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Azione" "R" 17
"Runaway Jury 2003" 64.675585 2003 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Thriller/Suspense" "PG-13" NA
"Run, Fatboy, Run 2008" 6.5969 2008 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 10
"Rumor Has It 2005" 52.499113 2005 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" NA
"Rules of Engagement 2000" 89.765745 2000 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Thriller/Suspense" "R" 60
"Rugrats in Paris 2000" 111.614686 2000 0 "Kids Fiction" "TV" "Hand Animation" "Avventura" "G" 30
"Rugrats Go Wild 2003" 51.552905 2003 1 "Kids Fiction" "TV" "Hand Animation" "Avventura" "PG" 25
"Roving Mars 2006" 12.1162 2006 0 "Factual" "Real Life Events" "Live Action" "Documentario" "G" NA
"Romeo Must Die 2000" 81.934991 2000 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Azione" "R" 25
"Romeo et Juliette 2006" 1.67025 2006 0 "Contemporary Fiction" "Play" "Live Action" "Drammatico" "Not Rated" NA
"Roman de Gare 2008" 2.035975 2008 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" NA
"Rollerball 2002" 25.789222 2002 0 "Science Fiction" "Remake" "Live Action" "Azione" "PG-13" 70
"Roll Bounce 2005" 21.391597 2005 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 10
"Role Models 2008" 73.921023 2008 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" NA
"Roger Dodger 2002" 1.708895 2002 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" NA
"Rocky Balboa 2006" 83.540866 2006 1 "Contemporary Fiction" NA "Live Action" "Drammatico" "PG" 24
"RocknRolla 2008" 6.264337 2008 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Azione" "R" NA
"Rock Star 2001" 23.686593 2001 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" 38
"Robots 2005" 157.800016 2005 0 "Kids Fiction" "Original Screenplay" "Digital Animation" "Avventura" "PG" 80
"Road Trip 2000" 100.309286 2000 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 16
"Rize 2005" 4.035609 2005 0 "Factual" "Real Life Events" "Live Action" "Documentario" "PG-13" 0.7
"Rivers and Tides 2002" 2.987982 2002 0 "Factual" "Real Life Events" "Live Action" "Documentario" "Not Rated" NA
"Righteous Kill 2008" 44.044891 2008 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "R" 60
"Riding in Cars with Boys 2001" 41.515136 2001 0 "Dramatization" "Real Life Events" "Live Action" "Drammatico" "PG-13" 47
"Riding Giants 2004" 2.892198 2004 0 "Factual" "Real Life Events" "Live Action" "Documentario" "PG-13" 2.6
"Ride (2000) 2000" 4.65005 2000 0 "Factual" "Real Life Events" "Live Action" "Documentario" "Not Rated" NA
"Revolutionary Road 2008" 25.656599 2008 0 "Historical Fiction" "Fiction Source" "Live Action" "Drammatico" "R" 45
"Return to Me 2000" 47.81179 2000 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG" 24
"Resurrecting the Champ 2007" 3.638095 2007 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG-13" NA
"Respiro 2003" 1.403363 2003 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG-13" NA
"Resident Evil: Extinction 2007" 58.084026 2007 1 "Science Fiction" "Game" "Live Action" "Azione" "R" 45
"Resident Evil: Apocalypse 2004" 64.466862 2004 1 "Science Fiction" "Game" "Live Action" "Horror" "R" 50
"Resident Evil 2002" 53.685012 2002 0 "Science Fiction" "Game" "Live Action" "Horror" "R" 35
"Rescue Dawn 2007" 6.289498 2007 0 "Historical Fiction" "Real Life Events" "Live Action" "Azione" "PG-13" 10
"Requiem for a Dream 2000" 5.229965 2000 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Drammatico" "Open" 4.5
